2,11,17,5,8,13,17,13,1,4,14,12,16,2,0,17,9,9,4,17,6,17,13,17,16,12,16,4,10,10,9,8,1,1,11,2,5,18,13,7,15,13,15,15,10,5,11,6,4,9
7,7,5,8,1,4,3,7,1,4,17,5,9,15,13,0,18,10,18,14,13,2,11,7,7,10,5,15,6,11,19,4,19,19,9,2,2,13,2,10,5,2,13,3,6,12,6,2,4,18
16,19,17,8,6,12,18,4,4,19,4,3,10,2,18,9,0,4,18,16,16,14,6,10,5,18,7,10,14,17,19,5,14,12,4,1,13,4,19,5,7,5,7,13,18,13,6,15,9,3
2,16,10,6,4,9,3,8,14,3,6,15,11,3,7,4,16,0,2,15,16,8,11,13,4,10,18,15,16,4,7,11,14,14,6,1,15,14,9,15,4,17,12,16,17,3,17,4,13,8
12,3,11,11,3,7,14,13,10,9,16,5,8,9,10,8,6,2,0,19,3,17,14,1,19,19,6,6,18,17,5,18,10,4,13,6,3,7,4,9,14,6,19,3,16,2,7,13,17,5
1,10,17,9,6,5,17,12,7,15,9,16,4,7,10,6,9,3,6,0,13,9,6,7,6,16,19,6,4,10,12,4,4,7,1,6,14,10,12,16,3,7,15,12,12,9,9,10,3,15
6,11,13,5,15,9,7,4,7,4,13,16,13,17,18,17,9,15,19,5,0,11,1,5,12,5,9,3,3,12,7,16,9,3,19,5,6,15,13,9,5,17,9,12,16,2,17,7,16,13
13,19,11,18,7,9,12,9,4,7,17,3,10,3,13,12,2,14,4,15,7,0,5,19,10,11,8,5,16,5,19,10,17,7,3,5,4,19,6,18,14,16,7,16,14,3,3,8,11,7
3,10,1,13,16,15,10,10,6,15,3,4,9,15,6,9,7,4,19,10,19,6,0,2,15,4,13,5,3,9,2,2,15,18,15,7,18,9,18,8,17,5,19,6,1,10,18,19,1,8
14,18,2,5,1,11,9,7,2,7,9,6,13,11,2,9,2,19,6,1,6,8,19,0,5,2,10,1,5,5,11,4,3,17,13,18,1,6,1,11,7,16,13,1,13,8,12,2,18,12
12,6,4,7,16,17,3,2,13,7,17,15,18,9,3,11,15,13,1,16,14,16,11,5,0,5,10,6,6,12,8,19,15,19,4,5,11,12,6,12,17,14,7,7,3,6,2,12,13,9
18,17,4,2,2,19,8,11,4,1,1,19,1,8,14,19,11,8,6,18,13,9,14,17,7,0,6,10,17,19,12,4,18,17,17,8,3,8,19,15,5,17,2,16,18,10,16,13,3,2
5,11,11,13,19,6,17,17,12,7,15,3,1,8,11,1,14,5,1,17,3,11,5,14,4,5,0,1,18,2,7,2,14,5,18,4,3,3,17,16,16,11,18,2,4,4,16,10,3,1
2,2,7,1,4,12,3,5,4,4,15,19,19,10,8,19,15,18,6,10,1,11,1,17,5,3,5,0,18,19,7,9,4,10,5,2,3,18,14,3,7,11,1,17,6,14,8,3,3,11
9,3,18,3,2,10,17,14,13,10,5,2,19,16,2,16,13,9,19,17,5,11,14,19,4,14,13,16,0,12,9,6,12,6,12,3,1,1,3,18,7,12,18,3,4,8,1,1,15,18
9,8,18,16,15,18,2,6,6,7,5,9,17,3,15,14,2,13,7,4,15,16,7,18,14,15,3,5,5,0,14,13,11,13,11,3,2,7,13,4,5,9,8,10,3,2,2,16,14,5
12,6,6,19,12,11,14,3,8,17,16,13,10,2,18,7,17,10,17,3,17,14,8,1,12,6,13,12,1,17,0,6,16,8,15,8,15,18,19,4,5,17,8,1,11,15,1,1,5,7
6,14,2,9,15,2,9,13,11,17,2,10,15,7,6,13,3,11,17,14,17,13,12,1,15,16,19,7,14,6,6,0,7,11,6,9,10,10,13,9,16,11,17,15,2,2,12,4,12,19
9,13,13,16,7,5,2,14,9,8,2,14,11,12,12,18,2,8,13,3,9,2,9,16,7,3,10,6,3,16,5,19,0,1,10,9,10,13,16,13,4,2,15,11,14,1,2,8,3,8
9,8,17,2,16,14,11,4,19,18,9,8,3,19,17,11,8,6,15,10,12,19,11,2,5,16,12,16,11,14,5,8,13,0,7,5,11,12,15,2,3,13,13,2,8,19,12,2,2,7
5,8,8,13,17,15,9,11,11,7,18,4,15,13,11,8,4,8,11,16,9,4,11,15,15,19,12,10,18,9,16,10,14,1,0,13,9,18,19,12,11,7,4,1,5,5,7,6,18,18
19,9,2,14,9,15,2,17,13,11,17,1,15,3,12,1,14,1,5,17,3,9,15,10,17,17,1,18,15,8,12,16,9,17,9,0,17,13,12,10,7,4,7,1,12,19,16,8,3,10
12,6,13,11,19,17,1,3,1,16,15,9,1,4,6,15,13,9,1,3,7,2,9,6,4,18,5,13,8,15,2,10,12,1,1,6,0,12,1,11,12,14,19,8,14,6,17,9,3,9
15,2,3,19,18,3,10,11,14,1,17,10,19,18,7,13,3,10,17,9,5,10,7,7,3,2,2,16,19,12,17,13,1,11,16,5,10,0,8,15,10,18,12,2,9,14,1,8,16,14
14,5,14,7,9,8,10,14,15,19,3,15,14,9,10,5,8,12,12,5,11,6,7,2,7,14,10,17,11,1,10,6,1,1,13,2,18,10,0,13,9,9,8,5,5,5,14,2,12,17
5,6,7,18,12,9,2,7,12,19,1,1,10,12,7,7,2,17,4,18,18,5,3,1,5,5,1,12,4,2,3,6,16,19,13,7,14,8,8,0,1,18,16,8,12,5,14,15,2,16
14,7,9,11,10,17,4,10,18,18,8,1,16,7,9,1,12,12,11,19,1,15,14,6,2,18,13,10,5,4,18,9,17,12,2,2,12,4,6,3,0,15,11,19,15,13,19,4,16,18
7,7,17,13,5,3,15,8,16,6,17,10,10,14,8,11,14,15,14,7,1,8,17,12,5,11,4,5,9,7,4,8,3,11,9,1,18,2,6,7,12,0,5,5,17,1,9,4,11,15
19,10,16,14,6,8,17,15,16,17,17,15,18,1,16,13,17,17,12,16,11,8,17,6,1,3,2,19,17,7,12,19,14,17,11,5,17,16,15,14,1,17,0,5,19,14,13,19,12,13
18,3,3,2,19,1,15,14,8,14,10,3,16,1,2,16,9,17,11,3,4,18,17,14,1,11,15,18,6,10,14,1,14,2,12,9,6,12,15,19,4,4,10,0,1,19,15,13,5,10
17,8,17,8,18,7,4,6,6,10,10,9,4,8,16,19,15,15,9,7,4,1,17,11,18,12,9,13,8,6,2,1,7,12,10,3,5,10,19,18,8,11,3,1,0,14,9,6,19,6
3,19,12,16,5,12,17,18,12,14,9,14,13,12,13,13,8,12,13,5,1,13,17,4,9,12,19,4,10,12,18,6,6,7,4,17,6,10,16,17,5,13,6,5,15,0,8,12,4,19
10,15,1,3,13,7,19,1,1,6,11,13,13,11,11,15,2,14,2,2,6,19,13,14,8,13,3,6,4,6,8,2,1,10,11,14,18,11,15,15,15,19,3,7,3,8,0,12,15,13
19,2,10,8,12,9,16,6,9,6,14,13,8,13,6,13,11,7,16,16,10,17,13,9,3,6,5,14,12,15,1,3,1,9,12,17,15,4,18,12,11,13,7,12,19,3,3,0,12,16
8,7,6,6,6,18,8,1,9,3,2,8,18,5,18,7,14,4,5,13,4,3,9,16,5,3,18,1,5,13,15,8,11,8,5,19,11,11,9,3,17,9,15,19,7,13,9,2,0,19
17,15,6,18,4,13,14,9,9,9,4,10,8,6,6,13,16,3,7,16,16,3,3,11,4,14,9,12,14,18,19,1,15,6,9,6,19,1,6,2,10,2,3,7,17,18,14,2,12,0
